Barcelona
Manchester City
Real Madrid
River Plate
Valencia
Athletico Paranaense
Liverpool
Boca Juniors
Atletico Madrid
Bayer Munchen
Totenham
Milan
Inter de Milan
Borrusia
RB Salzburg
Manchester United
